,username,likes,replies,retweets,text,timestamp
0,Bernie Sanders,12406,264,2246,"We shouldn't allow Jeff Bezos, or any other boss, to choose their profits over workers' health care. We need Medicare for All.https://twitter.com/KunkleFredrick/status/1186719115127508993 …",2019-10-22 22:05:42
1,Bernie Sanders,2177,104,464,"We're heading back to Iowa and fighting to put an end to corporate greed in this country. Join our End Corporate Greed Town Hall in Marshalltown this Thursday, Oct. 24:https://act.berniesanders.com/event/event-bernie-sanders-attend/33929 …",2019-10-22 20:25:50
2,Bernie Sanders,30030,865,5206,Lynching has been a dominant form of racial terrorism for hundreds of years in this country. It is disgraceful to compare that shameful history to the measured and constitutional investigation into Trump's abuses of power.https://twitter.com/realDonaldTrump/status/1186611272231636992 …,2019-10-22 18:49:45
3,Bernie Sanders,4763,138,1114,"This is the human cost of our profit-driven health care system.

Instead of focusing on getting better, Americans diagnosed with cancer have to battle their insurance companies.

This is the needless cruelty we will end with Medicare for All.https://twitter.com/RoKhanna/status/1186005155092799488 …",2019-10-22 18:20:56
4,Bernie Sanders,1837,36,409,I stand with @CTULocal1 members at Passages Charter School in Chicago who are on strike today for their students alongside the tens of thousands of CTU and @SEIU73 members. What's happening in Chicago is the kind of movement we need to win justice for working people everywhere.https://twitter.com/iftaft/status/1186652055672426497 …,2019-10-22 17:40:17
5,Bernie Sanders,2492,88,502,"Thank you @jessicaramos, @LuisSepulvedaNY, @SenGianaris, @rontkim, @PhilSteck, @JuliaCarmel__, @JSandersNYC and @RLEspinal for being a part of the political revolution. Together we're going to defeat Trump and transform the country.pic.twitter.com/5Pb7bwmhfd",2019-10-22 15:06:02
6,Bernie Sanders,4653,108,921,I stand with @32BJSEIU airport workers at Eulen America who are taking a stand against unpaid wages and health and safety violations. Eulen must respect its workers and their right to organize without fear or intimidation.https://twitter.com/FlyingWithSara/status/1186373833160310784 …,2019-10-21 23:32:58
7,Bernie Sanders,134268,25471,22385,"Tulsi Gabbard has put her life on the line to defend this country. People can disagree on issues, but it is outrageous for anyone to suggest that Tulsi is a foreign asset.",2019-10-21 22:15:46
8,Bernie Sanders,53561,4861,8577,"Imagine going to the hospital, getting treatment you need and never getting a bill for it or having to pay an insurance premium.

You just imagined every major country except the United States.

We are going to pass Medicare for All and make that a reality in America.",2019-10-21 20:40:20
9,Bernie Sanders,13103,431,2239,"We will not stand idly by and allow three people in this country to own more wealth than the bottom half of America, while at the same time, nearly 20% of our children live in poverty, veterans sleep out on the streets and seniors cannot afford their prescription drugs.",2019-10-21 16:48:01
10,Bernie Sanders,23115,671,5591,"In a city struggling with homelessness, Amazon is dropping an outrageous amount of money to defeat progressive candidates fighting for working people.

The way Amazon conducts itself in its hometown is a perfect example of the out-of-control corporate greed we are going to end.https://twitter.com/thenation/status/1184794855375015941 …",2019-10-21 15:17:59
11,Bernie Sanders,12406,264,2246,"We shouldn't allow Jeff Bezos, or any other boss, to choose their profits over workers' health care. We need Medicare for All.https://twitter.com/KunkleFredrick/status/1186719115127508993 …",2019-10-22 22:05:42
12,Bernie Sanders,2177,104,464,"We're heading back to Iowa and fighting to put an end to corporate greed in this country. Join our End Corporate Greed Town Hall in Marshalltown this Thursday, Oct. 24:https://act.berniesanders.com/event/event-bernie-sanders-attend/33929 …",2019-10-22 20:25:50
13,Bernie Sanders,30030,865,5206,Lynching has been a dominant form of racial terrorism for hundreds of years in this country. It is disgraceful to compare that shameful history to the measured and constitutional investigation into Trump's abuses of power.https://twitter.com/realDonaldTrump/status/1186611272231636992 …,2019-10-22 18:49:45
14,Bernie Sanders,4763,138,1114,"This is the human cost of our profit-driven health care system.

Instead of focusing on getting better, Americans diagnosed with cancer have to battle their insurance companies.

This is the needless cruelty we will end with Medicare for All.https://twitter.com/RoKhanna/status/1186005155092799488 …",2019-10-22 18:20:56
15,Bernie Sanders,1837,36,409,I stand with @CTULocal1 members at Passages Charter School in Chicago who are on strike today for their students alongside the tens of thousands of CTU and @SEIU73 members. What's happening in Chicago is the kind of movement we need to win justice for working people everywhere.https://twitter.com/iftaft/status/1186652055672426497 …,2019-10-22 17:40:17
16,Bernie Sanders,2492,88,502,"Thank you @jessicaramos, @LuisSepulvedaNY, @SenGianaris, @rontkim, @PhilSteck, @JuliaCarmel__, @JSandersNYC and @RLEspinal for being a part of the political revolution. Together we're going to defeat Trump and transform the country.pic.twitter.com/5Pb7bwmhfd",2019-10-22 15:06:02
17,Bernie Sanders,4653,108,921,I stand with @32BJSEIU airport workers at Eulen America who are taking a stand against unpaid wages and health and safety violations. Eulen must respect its workers and their right to organize without fear or intimidation.https://twitter.com/FlyingWithSara/status/1186373833160310784 …,2019-10-21 23:32:58
18,Bernie Sanders,134268,25471,22385,"Tulsi Gabbard has put her life on the line to defend this country. People can disagree on issues, but it is outrageous for anyone to suggest that Tulsi is a foreign asset.",2019-10-21 22:15:46
19,Bernie Sanders,53561,4861,8577,"Imagine going to the hospital, getting treatment you need and never getting a bill for it or having to pay an insurance premium.

You just imagined every major country except the United States.

We are going to pass Medicare for All and make that a reality in America.",2019-10-21 20:40:20
20,Bernie Sanders,13103,431,2239,"We will not stand idly by and allow three people in this country to own more wealth than the bottom half of America, while at the same time, nearly 20% of our children live in poverty, veterans sleep out on the streets and seniors cannot afford their prescription drugs.",2019-10-21 16:48:01
21,Bernie Sanders,23115,671,5591,"In a city struggling with homelessness, Amazon is dropping an outrageous amount of money to defeat progressive candidates fighting for working people.

The way Amazon conducts itself in its hometown is a perfect example of the out-of-control corporate greed we are going to end.https://twitter.com/thenation/status/1184794855375015941 …",2019-10-21 15:17:59
22,Bernie Sanders,20127,1020,3648,"One million donors. 

That’s how many people are funding this campaign — and all of their names are now on the wall at our campaign headquarters. Because this campaign is not just about me. It’s about all of us fighting for justice, together.pic.twitter.com/bq6TjDm9A0",2019-10-07 22:38:27
23,Bernie Sanders,34074,393,4377,Good!https://twitter.com/AlexGangitano/status/1181322396453789700 …,2019-10-07 21:46:51
24,Bernie Sanders,9894,306,1502,Our grassroots-funded campaign is proving every single day that you don't need billionaires and private fundraisers to run for president.,2019-10-07 20:21:00
25,Bernie Sanders,63021,3095,7021,"Not only are we going to defeat Trump, we're going to make him pay an additional $142 million with our tax on extreme wealth.",2019-10-07 19:03:00
26,Bernie Sanders,18152,825,2550,"When we win the Democratic nomination and defeat Donald Trump, we will transform our political system by rejecting the influence of big corporate money.",2019-10-07 15:42:48
27,Bernie Sanders,17379,652,4500,"Money is not speech.

Corporations are not people. 

And you shouldn't have to beg the rich and powerful for money to run for office. 

Today we are releasing our plan to get corporate money out of politics.https://berniesanders.com/issues/money-out-of-politics/ …",2019-10-07 14:37:09
28,Bernie Sanders,13481,527,2559,Passing Medicare for All and eliminating all past-due medical debt is not only our moral obligation. It is economically necessary.https://twitter.com/business/status/1178776326892859394 …,2019-10-07 00:16:59
29,Bernie Sanders,9739,602,2149,Trump's vision of government is one that serves the rich and attacks the poor. We have a different idea. We are going to protect the programs that are life-and-death for millions of working people and make the wealthy pay their fair share.https://twitter.com/nytimes/status/1180214778477907971 …,2019-10-06 19:01:59
30,Bernie Sanders,173090,24380,19874,Maybe I'm old fashioned. But I believe we should have a president who believes in the United States Constitution.,2019-10-06 17:04:24
31,Bernie Sanders,7067,212,1559,"We set an ambitious goal: 1,000,000 calls to early states in 10 days. It took our volunteers just nine.

This is the unprecedented grassroots power that we need to not only defeat Donald Trump, but to take back our democracy from the corporate elite.pic.twitter.com/rpC4AhrRUm",2019-10-06 15:51:53
