,index,0
0,fight,170
1,big,154
2,im,141
3,need,141
4,make,108
5,plan,103
6,people,98
7,change,95
8,fighting,86
9,families,80
10,structural,76
11,time,76
12,thank,74
13,public,73
14,got,69
15,must,65
16,together,65
17,ill,65
18,end,63
19,care,63
20,everyone,62
21,get,61
22,workers,59
23,every,58
24,ive,57
25,rights,53
26,climate,51
27,working,51
28,protect,50
29,one,46
30,health,46
31,administration,44
32,campaign,42
33,power,42
34,medicareforall,42
35,keep,41
36,school,41
37,like,40
38,american,40
39,grassroots,39
40,crisis,38
41,grateful,38
42,movement,38
43,today,37
44,corruption,37
45,family,36
46,win,36
47,communities,35
48,government,34
49,going,34
50,lets,33
51,stand,33
52,sure,32
53,justice,31
54,federal,31
55,student,31
56,want,31
57,violence,30
58,facebook,30
59,shouldnt,30
60,well,30
61,chip,30
62,free,30
63,wealthy,29
64,work,28
65,act,28
66,good,28
67,country,28
68,right,28
69,way,28
70,live,28
71,students,28
72,thanks,27
73,pay,27
74,see,27
75,hard,27
76,gun,27
77,companies,26
78,take,26
79,dont,26
80,house,26
81,schools,26
82,demdebate,26
83,call,25
84,help,25
85,many,25
86,lgbtq,25
87,support,24
88,thats,24
89,ensure,24
90,accountable,24
91,much,23
92,voices,23
93,would,23
94,dream,23
95,3,23
96,money,23
97,first,22
98,costs,22
99,theyre,22
100,even,22
101,million,21
102,put,21
103,love,21
104,back,21
105,america,21
106,washington,20
107,court,20
108,know,20
109,safe,20
110,trumps,20
111,cant,20
112,black,20
113,cruel,20
114,democrats,19
115,women,19
116,chance,19
117,talk,19
118,jobs,19
119,stop,19
120,succeed,19
121,vote,19
122,building,19
123,policy,19
124,real,19
125,private,18
126,great,18
127,two,18
128,democracy,18
129,believe,18
130,alongside,18
131,seekers,18
132,political,18
133,asylum,18
134,join,18
135,debt,18
136,millions,18
137,congratulations,18
138,donors,18
139,supreme,18
140,pacs,17
141,wellconnected,17
142,education,17
143,else,17
144,members,17
145,tax,17
146,give,17
147,college,17
148,day,17
149,loan,17
150,say,17
151,insurance,17
152,access,17
153,part,17
154,diplomatic,17
155,new,17
156,economy,17
157,wont,16
158,small,16
159,years,16
160,state,16
161,could,15
162,needs,15
163,afraid,15
164,face,15
165,youre,15
166,americans,15
167,ban,15
168,go,15
169,glad,15
170,friend,15
171,build,15
172,opportunity,15
173,heart,15
174,values,14
175,hands,14
176,history,14
177,system,14
178,teachers,14
179,use,14
180,made,14
181,year,14
182,strengthen,14
183,deserve,14
184,hold,14
185,security,14
186,elections,14
187,mark,14
188,candidate,13
189,able,13
190,lobbyists,13
191,election,13
192,around,13
193,lot,13
194,kid,13
195,better,13
196,ballot,13
197,fundraisers,13
198,toes,13
199,company,13
200,standards,13
201,return,13
202,rich,13
203,billionaires,13
204,wealth,13
205,welcome,13
206,held,13
207,place,12
208,republicans,12
209,pitch,12
210,job,12
211,clear,12
212,forward,12
213,friends,12
214,learn,12
215,policies,12
216,hope,12
217,breakupbigtech,12
218,law,12
219,giant,12
220,powerful,12
221,heard,12
222,community,12
223,universal,12
224,protecting,12
225,ago,12
226,immigrants,12
227,fancy,12
228,without,12
229,lost,11
230,important,11
231,bruce,11
232,bring,11
233,lower,11
234,proud,11
235,unions,11
236,cancel,11
237,enough,11
238,corporate,11
239,service,11
240,across,11
241,virginia,11
242,strong,11
243,nearly,11
244,children,11
245,best,11
246,legal,11
247,abortion,11
248,environmental,11
249,goes,11
250,child,11
251,immigration,11
252,reproductive,11
253,discrimination,11
254,taxes,10
255,lines,10
256,gain,10
257,profit,10
258,ads,10
259,lives,10
260,making,10
261,getting,10
262,isnt,10
263,weve,10
264,allow,10
265,might,10
266,tonight,10
267,cfpb,10
268,deserves,10
269,relationships,10
270,detention,10
271,heres,10
272,united,10
273,always,10
274,world,10
275,grow,10
276,death,10
277,civil,10
278,states,10
279,running,10
280,soon,10
281,cost,10
282,works,10
283,dangerous,10
284,elect,10
285,corporations,10
286,ready,10
287,person,10
288,unnecessary,10
289,middleclass,10
290,employees,10
291,deeply,10
292,union,10
293,abusing,9
294,voters,9
295,reverse,9
296,twocentwealthtax,9
297,posts,9
298,politicians,9
299,days,9
300,teamwarren,9
301,sending,9
302,resources,9
303,loved,9
304,future,9
305,simple,9
306,victims,9
307,mental,9
308,americas,9
309,strike,9
310,next,9
311,still,9
312,veterans,9
313,run,9
314,highquality,9
315,ideas,9
316,white,9
317,fair,9
318,away,9
319,changeand,9
320,spend,9
321,honor,9
322,threat,9
323,front,9
324,root,9
325,banks,9
326,stories,9
327,willing,9
328,trillion,9
329,another,9
330,reelection,8
331,level,8
332,selling,8
333,las,8
334,heartsick,8
335,pm,8
336,50,8
337,momentum,8
338,little,8
339,medical,8
340,team,8
341,affordable,8
342,wage,8
343,activists,8
344,housing,8
345,corrupt,8
346,zuckerberg,8
347,republican,8
348,october,8
349,national,8
350,plain,8
351,action,8
352,broke,8
353,atlanta,8
354,expand,8
355,hearing,8
356,foreign,8
357,organize,8
358,last,8
359,amazon,8
360,meet,8
361,stay,8
362,fundraising,8
363,special,8
364,equity,8
365,lj19,8
366,treatment,8
367,100,8
368,businesses,8
369,city,7
370,taking,7
371,starts,7
372,prescription,7
373,break,7
374,passing,7
375,helping,7
376,politics,7
377,wall,7
378,also,7
379,taught,7
380,possible,7
381,pollution,7
382,human,7
383,response,7
384,coverage,7
385,economic,7
386,military,7
387,incredible,7
388,donations,7
389,respect,7
390,playing,7
391,candidates,7
392,iowa,7
393,equal,7
394,decades,7
395,week,7
396,minimum,7
397,judges,7
398,home,7
399,campaigns,7
400,immigrant,7
401,practice,7
402,billion,7
403,check,7
404,energy,7
405,laying,7
406,advocate,7
407,already,7
408,hes,7
409,council,7
410,holding,7
411,facebooks,7
412,commitment,6
413,continue,6
414,ever,6
415,maralago,6
416,comes,6
417,winning,6
418,fought,6
419,undermine,6
420,create,6
421,long,6
422,evidence,6
423,200,6
424,key,6
425,gaza,6
426,color,6
427,reform,6
428,improve,6
429,immediately,6
430,core,6
431,returns,6
432,racial,6
433,strengthening,6
434,far,6
435,especially,6
436,reduce,6
437,powered,6
438,racist,6
439,value,6
440,yet,6
441,standing,6
442,treated,6
443,philadelphia,6
444,looking,6
445,equality,6
446,means,6
447,shoulder,6
448,impeached,6
449,farmers,6
450,shot,6
451,11,6
452,paycheck,6
453,applaud,6
454,didnt,6
455,profits,6
456,pride,6
457,affect,6
458,senator,6
459,leon,6
460,senate,6
461,dignity,6
462,putting,6
463,ones,6
464,quick,6
465,trans,6
466,sharing,6
467,fossil,6
468,secretary,6
469,leader,6
470,officials,6
471,difference,6
472,personal,6
473,happy,6
474,pass,6
475,goal,6
476,g7,6
477,experts,6
478,environment,6
479,inspired,6
480,courage,6
481,competition,6
482,fired,6
483,cover,6
484,governments,6
485,close,6
486,deadline,6
487,receive,6
488,look,6
