,index,0
0,must,84
1,american,74
2,im,66
3,every,63
4,care,58
5,ill,56
6,nation,54
7,get,52
8,take,51
9,plan,51
10,today,50
11,day,50
12,years,49
13,work,49
14,trumps,48
15,violence,48
16,health,47
17,white,46
18,country,46
19,middle,45
20,time,44
21,need,44
22,ensure,44
23,house,43
24,gun,43
25,make,42
26,stand,41
27,world,41
28,end,40
29,people,39
30,administration,38
31,deserve,37
32,class,37
33,cannot,36
34,fight,34
35,build,33
36,one,33
37,climate,33
38,workers,32
39,help,31
40,rights,31
41,power,30
42,act,29
43,law,29
44,live,29
45,support,29
46,history,28
47,americans,27
48,action,27
49,change,26
50,comes,26
51,tax,26
52,ago,26
53,clear,26
54,pay,25
55,full,25
56,going,25
57,demdebate,25
58,epidemic,25
59,read,24
60,back,24
61,like,23
62,foreign,23
63,enough,22
64,proud,22
65,know,22
66,right,22
67,hes,22
68,fair,22
69,families,22
70,chip,21
71,days,21
72,family,21
73,corporations,21
74,america,21
75,americas,20
76,new,20
77,stage,20
78,united,20
79,office,20
80,lives,20
81,protect,19
82,elections,19
83,let,19
84,obamacare,19
85,dignity,19
86,tune,19
87,government,19
88,first,18
89,planet,18
90,give,18
91,soul,18
92,put,18
93,de,18
94,war,18
95,stop,18
96,dangerous,17
97,women,17
98,human,17
99,everyone,17
100,access,17
101,made,17
102,iowa,16
103,go,16
104,communities,16
105,las,16
106,threat,16
107,done,16
108,watch,16
109,best,16
110,oneterm,16
111,together,16
112,lead,16
113,affordable,16
114,always,15
115,well,15
116,universal,15
117,good,15
118,laws,15
119,honor,15
120,public,15
121,trade,15
122,restore,14
123,corruption,14
124,join,14
125,modern,14
126,address,14
127,troops,14
128,senate,14
129,never,14
130,away,14
131,weve,14
132,strengthen,14
133,thats,14
134,campaign,14
135,come,14
136,emergency,14
137,powerful,14
138,continues,14
139,states,14
140,reckless,14
141,start,13
142,keep,13
143,dont,13
144,constitution,13
145,use,13
146,education,13
147,interests,13
148,pass,13
149,policy,13
150,taxes,13
151,cruel,13
152,assault,13
153,deserves,13
154,security,13
155,community,13
156,everything,13
157,around,13
158,lgbtq,13
159,federal,13
160,discuss,13
161,leadership,13
162,safe,13
163,record,13
164,stronger,13
165,future,13
166,want,13
167,got,13
168,big,12
169,impeached,12
170,ban,12
171,next,12
172,returns,12
173,para,12
174,roe,12
175,job,12
176,benefits,12
177,wrong,12
178,corrupt,12
179,tonights,12
180,may,12
181,better,12
182,tear,12
183,superwealthy,12
184,democracy,12
185,ive,12
186,along,12
187,real,12
188,works,12
189,political,12
190,hold,12
191,inclusive,12
192,loved,12
193,beat,12
194,contract,12
195,youre,12
196,accountable,11
197,reverse,11
198,weapons,11
199,important,11
200,obligation,11
201,justice,11
202,something,11
203,hate,11
204,peace,11
205,share,11
206,values,11
207,rebuild,11
208,period,11
209,farmers,10
210,past,10
211,reform,10
212,background,10
213,et,10
214,sexual,10
215,bargain,10
216,attacks,10
217,safety,10
218,la,10
219,respect,10
220,doesnt,10
221,year,10
222,national,10
223,5,10
224,lost,10
225,prayers,10
226,whole,10
227,crisis,10
228,four,10
229,devastating,10
230,entire,10
231,el,10
232,unions,10
233,abuse,10
234,fought,10
235,lies,10
236,choose,10
237,shooting,10
238,hard,10
239,addressing,10
240,two,10
241,quality,9
242,voice,9
243,place,9
244,race,9
245,money,9
246,military,9
247,forces,9
248,less,9
249,coverage,9
250,jill,9
251,isis,9
252,north,9
253,constitutional,9
254,looking,9
255,ones,9
256,releasing,9
257,court,9
258,forward,9
259,attack,9
260,long,9
261,bring,9
262,lets,9
263,million,9
264,progress,9
265,backbone,9
266,election,9
267,gender,9
268,send,9
269,afford,9
270,eliminate,8
271,cant,8
272,remains,8
273,republicans,8
274,en,8
275,thoughts,8
276,wealth,8
