,index,0
0,justice,126
1,fight,78
2,people,70
3,one,58
4,time,58
5,ballot,56
6,children,55
7,im,54
8,today,48
9,first,45
10,must,45
11,house,44
12,america,42
13,care,41
14,communities,41
15,american,40
16,health,38
17,need,38
18,native,37
19,ensure,37
20,community,35
21,work,35
22,act,34
23,families,34
24,day,34
25,every,33
26,women,33
27,white,31
28,lgbtq,30
29,lets,30
30,trumps,30
31,workers,30
32,history,30
33,law,29
34,make,28
35,know,28
36,country,28
37,lives,27
38,campaign,27
39,nation,27
40,rights,27
41,proud,27
42,school,26
43,end,25
44,americans,25
45,ill,25
46,together,25
47,like,25
48,stand,25
49,fighting,25
50,family,25
51,get,25
52,system,24
53,administration,24
54,access,24
55,protect,23
56,deserve,23
57,years,23
58,next,23
59,black,23
60,better,23
61,working,23
62,help,22
63,iowa,22
64,plan,22
65,leaders,21
66,child,20
67,congress,20
68,life,20
69,wont,20
70,made,20
71,keep,20
72,join,20
73,criminal,20
74,ive,20
75,continue,19
76,take,19
77,many,19
78,across,19
79,government,19
80,california,19
81,new,18
82,tribal,18
83,never,18
84,making,18
85,federal,18
86,support,18
87,equality,18
88,gun,18
89,violence,18
90,state,18
91,action,17
92,states,17
93,right,17
94,tax,17
95,demdebate,17
96,cant,17
97,education,17
98,everyone,17
99,shooting,16
100,world,16
101,discrimination,16
102,dont,16
103,honor,16
104,foreign,16
105,hold,16
106,living,16
107,go,16
108,doesnt,16
109,going,16
110,isnt,15
111,movement,15
112,accountable,15
113,bill,15
114,still,15
115,nations,15
116,paid,15
117,united,15
118,election,15
119,win,15
120,students,15
121,economic,14
122,childrens,14
123,1,14
124,civil,14
125,trans,14
126,epidemic,14
127,public,14
128,live,14
129,last,14
130,national,13
131,week,13
132,indigenous,13
133,chip,13
134,political,13
135,hes,12
136,transgender,12
137,ever,12
138,pay,12
139,birthday,12
140,elected,12
141,back,12
142,schools,12
143,want,12
144,see,12
145,important,12
146,career,12
147,since,12
148,sign,12
149,young,12
150,service,12
151,fear,12
152,alone,11
153,wage,11
154,vegas,11
155,believe,11
156,democracy,11
157,clear,11
158,future,11
159,home,11
160,done,11
161,parents,11
162,fought,11
163,congratulations,11
164,security,11
165,death,11
166,las,11
167,give,11
168,come,11
169,year,11
170,matter,11
171,lj19,11
172,5,11
173,union,11
174,teachers,11
175,protected,10
176,even,10
177,stop,10
178,honored,10
179,best,10
180,release,10
181,generation,10
182,class,10
183,normal,10
184,virginia,10
185,vote,10
186,nothing,10
187,could,10
188,worker,10
189,real,10
190,leader,10
191,able,10
192,rural,10
193,crisis,10
194,weve,10
195,always,10
196,theres,10
197,truth,10
198,past,10
199,days,10
200,two,10
201,easy,10
202,corporations,10
203,oath,10
204,kids,10
205,thats,10
206,invest,10
207,reproductive,9
208,environment,9
