,index,0
0,country,40
1,today,38
2,must,37
3,im,36
4,americans,34
5,stand,30
6,future,29
7,hope,28
8,proud,28
9,america,27
10,thank,26
11,honor,26
12,act,24
13,lives,24
14,one,24
15,time,24
16,every,24
17,american,23
18,family,23
19,better,22
20,health,22
21,build,22
22,make,22
23,plan,20
24,courage,20
25,years,20
26,right,20
27,new,20
28,fight,20
29,people,20
30,justice,18
31,end,18
32,care,18
33,work,18
34,need,16
35,leaders,16
36,demdebate,16
37,era,14
38,cant,14
39,real,14
40,national,14
41,many,14
42,take,14
43,look,14
44,safe,14
45,day,14
46,women,14
47,like,14
48,world,14
49,washington,14
50,deepest,14
51,brighter,12
52,workers,12
53,come,12
54,thanks,12
55,campaign,12
56,leadership,12
57,protect,12
58,war,12
59,nation,12
60,service,12
61,together,12
62,rights,12
63,college,12
64,families,12
65,communities,12
66,power,12
67,freedom,12
68,economy,11
69,tonight,10
70,grateful,10
71,go,10
72,happy,10
73,big,10
74,would,10
75,deserve,10
76,working,10
77,decisions,10
78,south,10
79,know,10
80,running,10
81,values,10
82,congressional,10
83,condolences,10
84,violence,10
85,public,10
86,democracy,10
87,made,10
88,military,10
89,across,10
90,bend,10
91,live,10
92,community,10
93,defend,10
94,ready,10
95,office,10
96,ago,10
97,congratulations,10
98,divided,10
99,enough,9
100,forward,9
101,everyone,9
102,china,8
103,hold,8
104,friends,8
105,betrayal,8
106,black,8
107,allies,8
108,lasting,8
109,next,8
110,first,8
111,generation,8
112,vote,8
113,history,8
114,hampshire,8
115,youre,8
116,important,8
117,unionsforall,8
118,state,8
119,deliver,8
120,election,8
121,farmers,8
122,wait,8
123,since,8
124,united,8
125,reminder,8
126,step,8
127,presidents,8
128,never,8
129,support,8
130,hear,8
131,year,8
132,gun,8
133,fellow,8
134,climate,8
135,building,8
136,ill,8
137,free,8
138,states,8
139,fair,8
140,movement,8
141,presidency,7
142,thats,7
143,works,7
144,impeachment,7
145,school,6
146,week,6
147,funding,6
148,republicans,6
149,lgbtq,6
150,soldiers,6
151,taken,6
152,veterans,6
153,want,6
154,meet,6
155,back,6
156,death,6
157,two,6
158,heart,6
159,oath,6
160,destroying,6
161,local,6
162,reproductive,6
163,morning,6
164,services,6
165,wrong,6
166,see,6
167,strike,6
168,cost,6
169,peace,6
170,ideas,6
171,trust,6
172,last,6
173,belonging,6
174,citizens,6
175,line,6
176,thing,6
177,believe,6
178,life,6
179,progress,6
180,please,6
181,set,6
182,bold,6
183,belong,6
184,uniform,6
185,best,6
186,ending,6
187,might,6
188,good,6
189,voting,6
190,pieces,6
191,makes,6
192,benefits,6
193,bad,6
194,thinking,6
195,issue,6
196,system,6
197,change,6
198,children,6
199,marks,6
200,dont,6
201,growth,6
202,voice,6
203,birthday,6
204,keep,6
205,rubble,6
206,affordable,6
207,deserves,6
208,isis,6
209,nearly,6
210,talk,6
211,moment,6
212,example,6
213,opportunities,6
214,sending,6
215,accountable,6
216,chief,6
217,toward,6
218,security,6
219,congress,6
220,stage,6
221,indiana,6
222,law,6
223,high,6
224,let,6
225,news,6
226,santa,6
227,republic,6
228,profoundly,6
229,provide,5
230,woman,4
231,stronger,4
232,rising,4
233,speak,4
234,yet,4
235,whove,4
236,carter,4
237,deadliest,4
238,hbcus,4
239,breaks,4
240,threatens,4
241,way,4
242,latest,4
243,equal,4
244,middleclass,4
245,responsibility,4
246,took,4
247,even,4
248,nothing,4
249,already,4
250,stock,4
251,get,4
252,sikh,4
253,sympathies,4
254,constitutional,4
255,digital,4
256,attack,4
257,didnt,4
258,looks,4
259,serve,4
260,political,4
261,case,4
262,white,4
263,three,4
264,morally,4
265,gather,4
266,common,4
267,race,4
268,choice,4
269,single,4
270,may,4
271,syrian,4
272,ahead,4
273,whose,4
274,politicians,4
275,past,4
276,paths,4
277,late,4
278,legal,4
279,clarita,4
280,elected,4
281,devastating,4
282,kentucky,4
283,patriotism,4
284,serving,4
285,col,4
286,economic,4
287,iranian,4
288,use,4
289,corporations,4
290,iowa,4
291,advice,4
292,keeping,4
293,adversaries,4
294,integrity,4
295,murder,4
296,trusted,4
297,launch,4
298,jimmy,4
299,kurds,4
300,say,4
301,away,4
302,party,4
303,politics,4
304,hurricane,4
305,schools,4
306,underway,4
307,announcing,4
308,amid,4
309,teachers,4
310,learn,4
311,endless,4
312,comes,4
313,without,4
314,cannot,4
315,isnt,4
316,veteran,4
317,whats,4
318,labor,4
319,troops,4
320,50,4
321,sees,4
322,virginia,4
323,commander,4
324,secure,4
325,inclusion,4
326,california,4
327,find,4
328,effects,4
329,officers,4
330,show,4
331,wishing,4
332,leaving,4
333,great,4
334,agreement,4
335,goes,4
336,putting,4
337,phone,4
338,county,4
339,crews,4
340,memory,4
341,rules,4
342,admitted,4
343,israel,4
344,stood,4
345,lead,4
346,little,4
347,destructive,4
348,constitution,4
349,lt,4
350,open,4
351,hopeful,4
352,purpose,4
353,obama,4
354,protections,4
355,members,4
356,global,4
357,protests,4
358,interests,4
359,lets,4
360,syria,4
361,demand,4
362,tune,4
363,strength,4
364,success,4
365,criminal,4
366,costs,4
367,court,4
368,students,4
369,medicare,4
370,came,4
371,lost,4
372,wont,4
373,team,4
374,market,4
375,tribal,4
376,everything,4
377,discrimination,4
378,love,4
379,policy,4
380,ever,4
381,urgent,4
382,owe,4
383,weakening,4
384,opportunity,4
385,civil,4
386,silence,4
387,transgender,4
388,elections,4
389,showed,4
390,uphold,4
391,voter,4
392,union,4
393,acts,4
394,atlanta,4
395,historic,4
396,internet,4
397,watch,4
398,months,4
399,applaud,4
400,nations,4
401,deeply,4
402,career,4
403,billion,4
404,hometown,4
405,save,4
406,wages,4
407,shouldnt,4
408,robbing,4
409,anniversary,4
410,mark,4
411,shown,4
412,servants,4
413,credibility,4
414,achieve,3
415,education,3
416,invest,3
417,generations,3
418,recognize,3
419,duty,3
